"Freq [GHz]","dB(St11) []"
11.9,-9.3643496857582
11.95,-8.58264830018046
12,-7.89026106004222
12.05,-7.27803841298368
12.1,-6.73654801824756
12.15,-6.25698685259386
12.2,-5.83148450092161
12.25,-5.45314577856586
12.3,-5.11598829088339
12.35,-4.81484394778603
12.4,-4.54525441316098
12.45,-4.30337281310812
12.5,-4.08587607059875
12.55,-3.88988871756736
12.6,-3.71291756069885
12.65,-3.55279603791216
12.7,-3.40763698365183
12.75,-3.27579258184668
12.8,-3.15582041381144
12.85,-3.04645465338411
12.9,-2.94658160099943
12.95,-2.85521887359491
13,-2.77149767591506
13.05,-2.69464767138287
13.1,-2.62398404881787
13.15,-2.55889644678708
13.2,-2.49883945214434
13.25,-2.4433244350372
13.3,-2.39191252081401
13.35,-2.34420853110523
13.4,-2.29985575294212
13.45,-2.25853141699786
13.5,-2.21994278462695
13.55,-2.18382375894981
13.6,-2.14993194828609
13.65,-2.11804612120132
13.7,-2.08796400164247
13.75,-2.05950036038517
13.8,-2.03248536553379
13.85,-2.00676316030096
13.9,-1.98219064090472
13.95,-1.95863641129297
14,-1.93597989464247
14.05,-1.91411058427558
14.1,-1.89292741886235
14.15,-1.87233826859049
14.2,-1.85225952043923
14.25,-1.83261575182653
14.3,-1.81333948274562
14.35,-1.79437099709624
14.4,-1.77565822427346
14.45,-1.75715667222685
14.5,-1.73882940316784
14.55,-1.72064704290988
14.6,-1.70258781449919
14.65,-1.68463758636663
14.7,-1.66678992473833
14.75,-1.64904613952457
14.8,-1.63141531241265
14.85,-1.61391429547152
14.9,-1.59656766829463
14.95,-1.57940764162553
15,-1.56247389559563
15.05,-1.54581334121867
15.1,-1.52947979469624
15.15,-1.51353355544117
15.2,-1.49804088056309
15.25,-1.48307335089631
15.3,-1.46870712647931
15.35,-1.45502209267745
15.4,-1.44210090180239
15.45,-1.43002791901531
15.5,-1.41888808535992
15.55,-1.40876571478107
15.6,-1.3997432457455
15.65,-1.39189997138063
15.7,-1.38531077467455
15.75,-1.38004489704049
15.8,-1.37616476928154
15.85,-1.37372493358336
15.9,-1.3727710835645
15.95,-1.37333924664502
16,-1.3754551291491
16.05,-1.37913363979975
16.1,-1.38437860181987
16.15,-1.39118265799297
16.2,-1.39952736705676
16.25,-1.40938348400366
16.3,-1.42071141152601
16.35,-1.43346180521597
16.4,-1.44757631140042
16.45,-1.46298841378647
16.5,-1.47962436347085
16.55,-1.49740416631713
16.6,-1.51624260215844
16.65,-1.53605025162179
16.7,-1.55673450843831
16.75,-1.57820055772698
16.8,-1.60035230373511
16.85,-1.62309323371068
16.9,-1.64632720780875
16.95,-1.66995916805909
17,-1.69389576233386
17.05,-1.71804588187167
17.1,-1.74232111318363
17.15,-1.76663610706098
17.2,-1.79090886891686
17.25,-1.81506097583926
17.3,-1.83901772653502
17.35,-1.8627082308402
17.4,-1.88606544570277
17.45,-1.90902616455115
17.5,-1.93153096679119
17.55,-1.95352413386431
17.6,-1.9749535378885
17.65,-1.99577050842488
17.7,-2.01592968239276
17.75,-2.03538884161958
17.8,-2.05410874197755
17.85,-2.07205293753931
17.9,-2.08918760269352
17.95,-2.10548135470238
18,-2.12090507876415
