"Freq [GHz]","dB(St11) []"
0.94275,-5.22672941133416
0.945,-5.14628845007109
0.94725,-5.06819569173381
0.9495,-4.99236153991265
0.95175,-4.9187005900582
0.954,-4.84713139689423
0.95625,-4.77757625671956
0.9585,-4.70996100353497
0.96075,-4.64421481801129
0.963,-4.58027004838948
0.96525,-4.51806204247262
0.9675,-4.45752898993395
0.96975,-4.39861177422399
0.972,-4.34125383341461
0.97425,-4.28540102936793
0.9765,-4.23100152466435
0.97875,-4.17800566676665
0.981,-4.12636587893611
0.98325,-4.07603655745287
0.9855,-4.02697397472565
0.98775,-3.97913618790677
0.99,-3.93248295265613
0.99225,-3.88697564172387
0.9945,-3.84257716804514
0.99675,-3.79925191206229
0.999,-3.75696565300997
1.00125,-3.71568550391729
1.0035,-3.67537985009818
1.00575,-3.63601829091716
1.008,-3.59757158463218
1.01025,-3.5600115961297
1.0125,-3.52331124737967
1.01475,-3.48744447044979
1.017,-3.45238616292882
1.01925,-3.41811214561873
1.0215,-3.38459912236486
1.02375,-3.35182464190134
1.026,-3.31976706159732
1.02825,-3.28840551299658
1.0305,-3.25771986905004
1.03275,-3.22769071294711
1.035,-3.19829930845729
1.03725,-3.16952757169947
1.0395,-3.14135804426106
1.04175,-3.1137738675938
1.044,-3.08675875861803
1.04625,-3.06029698647056
1.0485,-3.0343733503358
1.05075,-3.00897315830301
1.053,-2.98408220719612
1.05525,-2.9596867633254
1.0575,-2.9357735441136
1.05975,-2.9123297005516
1.062,-2.8893428004413
1.06425,-2.8668008123859
1.0665,-2.84469209048993
1.06875,-2.82300535973353
1.071,-2.80172970198749
1.07325,-2.78085454263727
1.0755,-2.76036963778622
1.07775,-2.74026506200961
1.08,-2.72053119663278
1.08225,-2.70115871850805
1.0845,-2.6821385892665
1.08675,-2.66346204502199
1.089,-2.64512058650584
1.09125,-2.62710596961193
1.0935,-2.60941019633299
1.09575,-2.59202550606978
1.098,-2.57494436729579
1.10025,-2.5581594695612
1.1025,-2.54166371582037
1.10475,-2.52545021506823
1.107,-2.50951227527137
1.10925,-2.4938433965807
1.1115,-2.4784372648129
1.11375,-2.46328774518862
1.116,-2.44838887631619
1.11825,-2.43373486440971
1.1205,-2.4193200777315
1.12275,-2.40513904124876
1.125,-2.39118643149539
1.12725,-2.37745707162996
1.1295,-2.36394592668123
1.13175,-2.3506480989735
1.134,-2.33755882372376
1.13625,-2.32467346480353
1.1385,-2.3119875106584
1.14075,-2.29949657037863
1.143,-2.28719636991439
1.14525,-2.27508274842978
1.1475,-2.26315165478972
1.14975,-2.25139914417431
1.152,-2.23982137481537
1.15425,-2.22841460485022
1.1565,-2.21717518928789
1.15875,-2.20609957708319
1.161,-2.19518430831434
1.16325,-2.18442601145996
1.1655,-2.17382140077149
1.16775,-2.1633672737372
1.17,-2.15306050863421
1.17225,-2.14289806216502
1.1745,-2.13287696717522
1.17675,-2.12299433044936
1.179,-2.11324733058162
1.18125,-2.10363321591882
1.1835,-2.09414930257259
1.18575,-2.08479297249827
1.188,-2.07556167163797
1.19025,-2.0664529081253
1.1925,-2.05746425054945
1.19475,-2.0485933262764
1.197,-2.03983781982521
1.19925,-2.03119547129709
1.2015,-2.0226640748556
1.20375,-2.01424147725583
1.206,-2.00592557642094
1.20825,-1.99771432006426
1.2105,-1.98960570435519
1.21275,-1.98159777262751
1.215,-1.97368861412842
1.21725,-1.96587636280691
1.2195,-1.95815919614
1.22175,-1.95053533399555
1.224,-1.94300303753036
1.22625,-1.9355606081222
1.2285,-1.92820638633477
1.23075,-1.92093875091426
1.233,-1.91375611781644
1.23525,-1.9066569392634
1.2375,-1.89963970282859
1.23975,-1.89270293054957
1.242,-1.88584517806717
1.24425,-1.87906503379044
1.2465,-1.87236111808632
1.24875,-1.86573208249331
1.251,-1.85917660895832
1.25325,-1.85269340909587
1.2555,-1.84628122346897
1.25775,-1.8399388208909
1.26,-1.83366499774727
1.26225,-1.82745857733762
1.2645,-1.82131840923599
1.26675,-1.81524336866981
1.269,-1.80923235591652
1.27125,-1.80328429571737
1.2735,-1.79739813670779
1.27575,-1.79157285086397
1.278,-1.78580743296487
1.28025,-1.78010090006941
1.2825,-1.77445229100827
1.28475,-1.76886066588985
1.287,-1.76332510561991
1.28925,-1.75784471143458
1.2915,-1.75241860444621
1.29375,-1.7470459252017
1.296,-1.74172583325305
1.29825,-1.73645750673951
1.3005,-1.73124014198126
1.30275,-1.72607295308407
1.305,-1.72095517155469
1.30725,-1.71588604592669
1.3095,-1.71086484139636
1.31175,-1.70589083946845
1.314,-1.70096333761137
1.31625,-1.69608164892167
1.3185,-1.69124510179755
1.32075,-1.68645303962094
1.323,-1.68170482044821
1.32525,-1.67699981670898
1.3275,-1.672337414913
1.32975,-1.66771701536474
1.332,-1.66313803188558
1.33425,-1.65859989154332
1.3365,-1.65410203438877
1.33875,-1.6496439131994
1.341,-1.64522499322958
1.34325,-1.64084475196752
1.3455,-1.63650267889852
1.34775,-1.63219827527442
1.35,-1.62793105388915
