"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1.685,-8.92112023583099
1.69,-9.01980743554046
1.695,-9.11718818504605
1.7,-9.21366582751193
1.705,-9.30964747445291
1.71,-9.40554135610624
1.715,-9.50175456490419
1.72,-9.59869118353091
1.725,-9.69675077945209
1.73,-9.79632724051162
1.735,-9.89780792101931
1.74,-10.0015730644324
1.745,-10.1079954669521
1.75,-10.2174403457757
1.755,-10.3302653760357
1.76,-10.4468208613064
1.765,-10.5674500036617
1.77,-10.692489240377
1.775,-10.8222686152217
1.78,-10.9571121526676
1.785,-11.0973382030277
1.79,-11.2432597253071
1.795,-11.3951844721735
1.8,-11.5534150376582
1.805,-11.7182487226885
1.81,-11.8899771659473
1.815,-12.068885677416
1.82,-12.2552521987314
1.825,-12.4493457975091
1.83,-12.6514245812556
1.835,-12.8617328894452
1.84,-13.0804975886924
1.845,-13.3079232544612
1.85,-13.5441859721765
1.855,-13.7894254297683
1.86,-14.0437349018564
1.865,-14.3071486431466
1.87,-14.5796261171513
1.875,-14.8610323912542
1.88,-15.151113940984
1.885,-15.4494690443912
1.89,-15.7555119441806
1.895,-16.0684300628093
1.9,-16.3871338530445
1.905,-16.7101994663293
1.91,-17.035805473082
1.915,-17.3616665491165
1.92,-17.6849695180058
1.925,-18.0023204865266
1.93,-18.3097158648152
1.935,-18.6025541995274
1.94,-18.8757086418195
1.945,-19.1236793924835
1.95,-19.3408389950203
1.955,-19.5217688246663
1.96,-19.6616628572544
1.965,-19.7567493147213
1.97,-19.8046610493624
1.975,-19.8046820259931
1.98,-19.7578161510737
1.985,-19.6666625720329
1.99,-19.5351253733967
1.995,-19.368019059448
2,-19.1706436159142
2.005,-18.9483938977422
2.01,-18.7064456339925
2.015,-18.4495350318273
2.02,-18.1818286518174
2.025,-17.9068681089142
2.03,-17.6275696553574
2.035,-17.3462594492089
2.04,-17.0647287550268
2.045,-16.7842975525484
2.05,-16.5058789392508
2.055,-16.230039833938
2.06,-15.9570557437585
2.065,-15.6869588590345
2.07,-15.4195796632349
2.075,-15.1545827580524
2.08,-14.8914978425065
2.085,-14.6297468498999
2.09,-14.368668204618
2.095,-14.1075390549075
2.1,-13.8455961936469
2.105,-13.5820562118952
2.11,-13.3161352491412
2.115,-13.0470685170785
2.12,-12.7741295880251
2.125,-12.4966492640164
2.13,-12.2140336890722
2.135,-11.9257812472391
2.14,-11.6314977142502
2.145,-11.3309091100772
2.15,-11.0238717376126
2.155,-10.7103789873194
2.16,-10.3905646300323
2.165,-10.0647024949718
2.17,-9.73320261778145
2.175,-9.39660412284926
2.18,-9.055565255855
2.185,-8.71085109161555
2.19,-8.36331950073386
2.195,-8.01390596546057
2.2,-7.66360779640331
2.205,-7.31346822813641
2.21,-6.96456077698372
2.215,-6.61797414239699
2.22,-6.27479783705619
2.225,-5.93610864989492
2.23,-5.60295798695345
2.235,-5.27636009988448
2.24,-4.95728120029071
2.245,-4.64662946631975
2.25,-4.34524597051586
2.255,-4.05389658809697
2.26,-3.7732649754602
2.265,-3.50394673317599
2.27,-3.24644488046958
2.275,-3.00116676544567
2.28,-2.76842251545688
2.285,-2.54842509571752
2.29,-2.341291994376
2.295,-2.14704849338286
2.3,-1.96563242236662
2.305,-1.79690023340844
2.31,-1.64063418369528
2.315,-1.49655037495497
2.32,-1.36430737615454
2.325,-1.24351515014174
2.33,-1.13374401495399
2.335,-1.03453339417706
2.34,-0.945400144792207
2.345,-0.865846291693068
2.35,-0.795366041785299
2.355,-0.733451993971605
2.36,-0.67960050169664
2.365,-0.633316180160905
2.37,-0.594115579671606
2.375,-0.561530069437758
2.38,-0.535107992557905
2.385,-0.514416163524409
2.39,-0.499040785072568
2.395,-0.488587862555817
2.4,-0.48268319217422
2.405,-0.4809719952132
2.41,-0.483118264754016
2.415,-0.488803884763351
2.42,-0.497727574591872
2.425,-0.509603705121613
2.43,-0.524161026396139
2.435,-0.54114134075006
2.44,-0.560298150349003
2.445,-0.581395303722906
2.45,-0.604205662342809
2.455,-0.628509805537516
2.46,-0.654094790031957
2.465,-0.680752979056954
2.47,-0.708280955253875
2.475,-0.736478531400012
2.48,-0.765147873208228
2.485,-0.794092749008176
2.49,-0.823117921865511
2.495,-0.8520287005094
2.5,-0.880630666153571
2.505,-0.908729592742169
2.51,-0.936131578128004
2.515,-0.962643402993334
2.52,-0.988073132724475
2.525,-1.01223097474229
2.53,-1.03493039975902
2.535,-1.05598952991978
2.54,-1.07523278968279
2.545,-1.09249280658266
2.55,-1.10761253879946
2.555,-1.12044759497152
2.56,-1.13086869933737
2.565,-1.13876424266219
2.57,-1.14404284722559
2.575,-1.14663586331298
2.58,-1.14649970612533
2.585,-1.14361793678237
2.59,-1.13800299005135
2.595,-1.12969745530351
2.6,-1.11877482642381
2.605,-1.10533965103494
2.61,-1.08952702907938
2.615,-1.07150143470244
2.62,-1.05145486226362
2.625,-1.02960432559289
2.63,-1.00618876752156
2.635,-0.981465462426463
2.64,-0.955706016325039
2.645,-0.92919208552827
