SimulationIndex,SimulationID,f0_GHz,S11ReportFreq_GHz,S11SweepSampleFreq_GHz,S11SweepSample_dB,S11_Source,Gmain_Source,MainPlane,Gmain_dBi,Gmain_Cut_dBi,PeakGain_dBi,PeakRealizedGain_dBi,FrontToBackRatio_dB,SLL_dB,HPBW_deg,SideLobeSuppression_dB,MainLobeTheta_deg,SideLobeTheta_deg,SideLobeGain_dBi,S11_f0_dB,AbsS11_f0_dB,AbsS11_f0_Linear,Objective1_Neg_Gmain,Objective2_SLL,Objective3_HPBW,Objective4_AbsS11,Gmain_Phi0_dBi,SLL_Phi0_dB,HPBW_Phi0_deg,Gmain_Phi90_dBi,SLL_Phi90_dB,HPBW_Phi90_deg,Ldir,Ldri,L1,Sdir,Sref,Wdri
76,sim_076,2.25,2.25,2.25,-0.586963740865098,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,5.62712564421541,5.51712680285673,5.62712564421541,-3.35478168019159,5.26455813234822,-6.48713355478856,NaN,6.48713355478856,26,126,-0.970006751931829,-0.586963740865098,0.586963740865098,0.934656031625839,-5.62712564421541,-6.48713355478856,NaN,0.934656031625839,3.95074274062768,-0.0425948480787302,NaN,5.51712680285673,-6.48713355478856,NaN,18.1094217674908,45.2794772314347,16.4545220886333,15.7308134668014,20.876999483893,4.30304559890771
77,sim_077,2.25,2.25,2.25,-4.29100308363753,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.50629847314947,2.99278495846308,3.50629847314947,1.48378028471132,10.5323660490254,-9.7417833682516,NaN,9.7417833682516,0,148,-6.74899840978852,-4.29100308363753,4.29100308363753,0.610168587700847,-3.50629847314947,-9.7417833682516,NaN,0.610168587700847,2.99278495846307,-0.0136065156534801,NaN,2.99278495846308,-9.7417833682516,NaN,16.8611923773516,40.0895661390746,16.3356574414596,13.8342076607781,17.9458030125582,2.72631027765824
78,sim_078,2.25,2.25,2.25,-2.6753942274584,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.31863315928237,3.77469609561015,4.31863315928237,0.945426966362858,13.7029478295442,-11.533639348419,NaN,11.533639348419,24,140,-7.75894325280888,-2.6753942274584,2.6753942274584,0.734903454145347,-4.31863315928237,-11.533639348419,NaN,0.734903454145347,3.60960014332034,-0.02266896002619,NaN,3.77469609561015,-11.533639348419,NaN,15.633639438083,44.5798934982246,18.0538757522997,14.8878039058234,21.9526327374446,3.66072940950286
79,sim_079,2.25,2.25,2.25,-2.87853641238063,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.9732471059017,4.58834382105396,4.9732471059017,1.82706052244359,21.38526962108,-11.7427959070599,NaN,11.7427959070599,20,138,-7.15445208600595,-2.87853641238063,2.87853641238063,0.717915251057506,-4.9732471059017,-11.7427959070599,NaN,0.717915251057506,4.35613955005744,-0.0377336516997104,NaN,4.58834382105396,-11.7427959070599,NaN,17.44084862275,44.3171757718015,16.5201960450453,17.432604453026,22.0303878214999,3.73372749707724
80,sim_080,2.25,2.25,2.25,-3.68857510798141,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.13183834892184,3.99902159062083,4.13183834892184,1.70805160206786,39.897174423278,-11.3873686698612,NaN,11.3873686698612,0,148,-7.38834707924033,-3.68857510798141,3.68857510798141,0.653990206177163,-4.13183834892184,-11.3873686698612,NaN,0.653990206177163,3.99902159062082,-19.5553475002092,NaN,3.99902159062083,-11.3873686698612,NaN,17.741428909292,43.4106109326819,18.2768642667602,17.9228819201126,19.9025587624291,3.85917177666579
81,sim_081,2.25,2.25,2.25,-3.11220463605201,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.90134987109962,3.39802954331066,3.90134987109962,0.990618177631033,14.144070384752,-10.5730673224019,NaN,10.5730673224019,0,146,-7.1750377790912,-3.11220463605201,3.11220463605201,0.698859331097155,-3.90134987109962,-10.5730673224019,NaN,0.698859331097155,3.39802954331066,-0.0263183850659003,NaN,3.39802954331066,-10.5730673224019,NaN,17.1904329968493,42.2768983819554,18.4584466399559,14.6177184835431,20.1946715949106,3.82063163280569
82,sim_082,2.25,2.25,2.25,-3.55066652010686,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.18603471776254,3.78183912678978,4.18603471776254,1.65624562209481,18.5583502172897,-11.0369765177816,NaN,11.0369765177816,0,140,-7.25513739099187,-3.55066652010686,3.55066652010686,0.6644566832279,-4.18603471776254,-11.0369765177816,NaN,0.6644566832279,3.78183912678978,-0.0236028331507501,NaN,3.78183912678978,-11.0369765177816,NaN,18.0419346005156,40.1461987636826,16.2554190844135,15.5489266615245,22.3145700175178,3.71895338207218
83,sim_083,2.25,2.25,2.25,-2.97380461713712,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi0,4.04884110771444,3.29153776057054,4.04884110771444,1.00173652714097,11.1903840946666,-0.02250173996529,NaN,0.02250173996529,0,2,3.26903602060525,-2.97380461713712,2.97380461713712,0.710084068907151,-4.04884110771444,-0.02250173996529,NaN,0.710084068907151,3.29153776057054,-0.02250173996529,NaN,3.29153776057053,-0.0316831936984201,NaN,15.7963629710772,42.3331982821686,18.1408531971187,12.9727457523511,21.4387477058354,3.56657985168861
84,sim_084,2.25,2.25,2.25,-5.0957178066753,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.93541229609393,3.38556285888546,3.93541229609393,2.32809055117008,8.03940944970303,-10.8475451886045,NaN,10.8475451886045,0,144,-7.46198232971901,-5.0957178066753,5.0957178066753,0.55617838882086,-3.93541229609393,-10.8475451886045,NaN,0.55617838882086,3.38556285888545,-0.0198200644618001,NaN,3.38556285888546,-10.8475451886045,NaN,14.8563509418416,41.0615790148321,14.547563722741,13.2035762177826,20.4821568126483,2.32077220245973
85,sim_085,2.25,2.25,2.25,-3.56809083015512,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.49281209707996,3.12292674423562,3.49281209707996,0.976747942717408,10.7401606300796,-9.93126954774836,NaN,9.93126954774836,0,154,-6.80834280351274,-3.56809083015512,3.56809083015512,0.663125087410287,-3.49281209707996,-9.93126954774836,NaN,0.663125087410287,3.12292674423561,-13.119686093418,NaN,3.12292674423562,-9.93126954774836,NaN,17.2544487918473,41.0114470148242,17.7940867924897,14.414852007714,16.9741533726212,2.77646956855777
