f0_GHz,S11ReportFreq_GHz,S11SweepSampleFreq_GHz,S11SweepSample_dB,S11_f0_dB,AbsS11_f0_dB,AbsS11_f0_Linear,S11_Source,PeakGain_dBi,PeakRealizedGain_dBi,FrontToBackRatio_dB,Gmain_Source,Ldir,Ldri,L1,Sdir,Sref,Wdri,SimulationIndex,SimulationID
2.25,2.25,2.25,-4.41318415863098,-4.41318415863098,4.41318415863098,0.601645665297576,ATK_OBJ_S11_F0,4.28880007081068,2.33715997087082,17.0670155017056,ATK_OBJ_PeakGain,15.2144245499716,42.7722091430436,15.6996869883397,15.8430225153576,21.6353692545788,2.53919347757102,46,sim_046
2.25,2.25,2.25,-4.42606812269399,-4.42606812269399,4.42606812269399,0.600753893095488,ATK_OBJ_S11_F0,4.12306970699766,2.17872227393136,18.3521148451738,ATK_OBJ_PeakGain,18.3421352372321,41.6431776592453,14.5389115837807,15.5252354649249,19.9690000074096,3.44165147364785,47,sim_047
2.25,2.25,2.25,-6.00893505713291,-6.00893505713291,6.00893505713291,0.500671934188344,ATK_OBJ_S11_F0,4.01770094792568,2.76441832360807,23.809939908625,ATK_OBJ_PeakGain,18.3930751469734,44.6928724922484,15.8735328935687,16.7875682737711,18.4687200166294,2.211218498655,48,sim_048
2.25,2.25,2.25,-4.31356338183286,-4.31356338183286,4.31356338183286,0.608585822514464,ATK_OBJ_S11_F0,3.60583015730296,1.59663804669268,9.56471519391232,ATK_OBJ_PeakGain,16.2698834787328,40.0386998299304,16.9597660452463,12.0228866128773,16.8098382479092,4.10624560972309,49,sim_049
2.25,2.25,2.25,-2.79781187172114,-2.79781187172114,2.79781187172114,0.724618481216517,ATK_OBJ_S11_F0,4.00842045491084,0.774698720559443,9.83395184233135,ATK_OBJ_PeakGain,18.2955810344646,41.7199714392666,15.7553366277443,12.2724888794733,21.7740889594787,4.49519110302769,50,sim_050
2.25,2.25,2.25,-3.54044844412444,-3.54044844412444,3.54044844412444,0.66523880967546,ATK_OBJ_S11_F0,3.69060967428986,1.15272594758244,10.7649843428519,ATK_OBJ_PeakGain,17.434300741568,40.4258261154307,18.4267339852878,15.9198478857925,17.4899843357591,2.76978916210111,51,sim_051
2.25,2.25,2.25,-3.96273992829061,-3.96273992829061,3.96273992829061,0.633669791187819,ATK_OBJ_S11_F0,3.7262698324653,1.49663995176771,10.8353922285563,ATK_OBJ_PeakGain,16.9580744112111,42.8217335525377,18.093247637208,17.6255093704412,16.589429344828,3.38372817408284,52,sim_052
2.25,2.25,2.25,-5.17063922727005,-5.17063922727005,5.17063922727005,0.551401621170395,ATK_OBJ_S11_F0,3.95195440849684,2.3777738155505,7.80896538809391,ATK_OBJ_PeakGain,17.0178184500866,45.7950798417694,17.6448833057358,12.0651314405258,18.9338111082658,2.16286665428443,53,sim_053
2.25,2.25,2.25,-5.33268276286781,-5.33268276286781,5.33268276286781,0.54121006149576,ATK_OBJ_S11_F0,4.0026129123321,2.49737011827749,15.8704988315885,ATK_OBJ_PeakGain,17.2666832610548,41.12182272616,14.5859101450166,17.90815673593,18.6069672043789,3.58159853359673,54,sim_054
2.25,2.25,2.25,-5.78960545530396,-5.78960545530396,5.78960545530396,0.513475500897895,ATK_OBJ_S11_F0,4.37016114185604,3.0409622367156,9.8408516370776,ATK_OBJ_PeakGain,15.4939749166467,45.2125920484613,14.7336035674246,13.2477144953143,21.2707089739997,2.13790091058025,55,sim_055
2.25,2.25,2.25,-4.08984708980969,-4.08984708980969,4.08984708980969,0.624464343526456,ATK_OBJ_S11_F0,4.00586119188362,1.85947481171079,11.1170234054692,ATK_OBJ_PeakGain,15.5639561965337,44.6455031588587,16.7905569366084,13.9332190404228,19.9382229783121,3.34783927903545,56,sim_056
2.25,2.25,2.25,-4.2636059191931,-4.2636059191931,4.2636059191931,0.61209622918692,ATK_OBJ_S11_F0,3.66321675555665,1.62436639086042,7.69225427230413,ATK_OBJ_PeakGain,15.4406108189261,41.4258244578829,15.7682318702682,14.0682575679093,18.5733242796386,3.86674982758103,57,sim_057
2.25,2.25,2.25,-3.95528061419524,-3.95528061419524,3.95528061419524,0.634214211208289,ATK_OBJ_S11_F0,3.50176365856711,1.26712177298929,11.5508875223112,ATK_OBJ_PeakGain,15.2548814852073,40.7022191575242,17.4120527643607,15.9496774146077,18.3122237852364,2.79808388698601,58,sim_058
2.25,2.25,2.25,-4.12906893843479,-4.12906893843479,4.12906893843479,0.621650880445978,ATK_OBJ_S11_F0,4.04435735367187,1.92285825233005,22.4295802691214,ATK_OBJ_PeakGain,15.4100004487118,44.0901154197063,17.6150104011185,17.9535583712778,19.1965223041999,4.37807586958883,59,sim_059
2.25,2.25,2.25,-5.16281377001194,-5.16281377001194,5.16281377001194,0.551898624280578,ATK_OBJ_S11_F0,3.57814595160198,2.0005422054375,8.68138507561107,ATK_OBJ_PeakGain,16.5895984428229,42.4477041791636,16.0716706634852,14.6051909226216,18.0464439833243,2.4072686406546,60,sim_060
2.25,2.25,2.25,-0.498375038794927,-0.498375038794927,0.498375038794927,0.944237508256705,ATK_OBJ_S11_F0,5.13962085328219,-4.50946425437509,3.67991174087147,ATK_OBJ_PeakGain,16.1580944447613,44.4094539409284,18.3910358502987,15.3459787050742,21.8510700923013,3.97422096098843,61,sim_061
2.25,2.25,2.25,-5.78321804409329,-5.78321804409329,5.78321804409329,0.513853238302094,ATK_OBJ_S11_F0,4.1808871230538,2.84939883680423,19.1665492579119,ATK_OBJ_PeakGain,16.6921973329685,43.4600628585839,15.0916714123752,17.0266166119737,19.7462503794844,2.86309734115481,62,sim_062
2.25,2.25,2.25,-4.51079864538969,-4.51079864538969,4.51079864538969,0.594922052679301,ATK_OBJ_S11_F0,4.58994668540495,2.69272732116095,15.3722366294314,ATK_OBJ_PeakGain,15.0323533277918,45.0674945646243,15.1902363983992,16.0404019659025,22.3332282982957,2.47567472073963,63,sim_063
2.25,2.25,2.25,-4.33870527673074,-4.33870527673074,4.33870527673074,0.606826776765195,ATK_OBJ_S11_F0,3.64025357118602,1.64578350354762,10.5216735571986,ATK_OBJ_PeakGain,14.6771888461129,40.8929682096506,16.66165185454,16.0610156971595,16.7386858845653,3.0502577254265,64,sim_064
2.25,2.25,2.25,-5.97140632847625,-5.97140632847625,5.97140632847625,0.502839844686587,ATK_OBJ_S11_F0,4.19984818422889,2.93393834405826,8.67723763854444,ATK_OBJ_PeakGain,15.7361097884906,44.8712160861177,14.8743914026972,12.2171787181858,20.3137207774994,2.33351848142745,65,sim_065
2.25,2.25,2.25,-6.02957634218435,-6.02957634218435,6.02957634218435,0.49948354212794,ATK_OBJ_S11_F0,4.2908653878058,3.04446604644817,20.8034858784426,ATK_OBJ_PeakGain,17.6515344303123,43.9339506323858,14.7199231222259,16.2173677047738,19.634122897376,2.93248285658292,66,sim_066
2.25,2.25,2.25,-4.02485270141905,-4.02485270141905,4.02485270141905,0.62915458359776,ATK_OBJ_S11_F0,4.37322460360563,2.18477670555005,16.012714121308,ATK_OBJ_PeakGain,18.2436584493883,44.4496875937846,16.3670906860991,14.3060066116402,21.6857068898335,3.07642537543145,67,sim_067
2.25,2.25,2.25,-5.0152207753819,-5.0152207753819,5.0152207753819,0.561356765601581,ATK_OBJ_S11_F0,3.57194256553931,1.92807841234906,14.4911797551638,ATK_OBJ_PeakGain,17.9247986402114,44.9360811342061,16.4794251763037,15.1622033028065,16.891301714147,2.22245306688407,68,sim_068
2.25,2.25,2.25,-3.37353865062339,-3.37353865062339,3.37353865062339,0.678145786121353,ATK_OBJ_S11_F0,4.37591568917079,1.70080455164639,15.7352046850085,ATK_OBJ_PeakGain,18.4377302386615,43.3928699597124,15.966928975226,14.4633784542308,22.130748754356,3.69522313233924,69,sim_069
2.25,2.25,2.25,-3.6483630358535,-3.6483630358535,3.6483630358535,0.65702492934469,ATK_OBJ_S11_F0,4.81785312921078,2.36376909434152,20.7303065646769,ATK_OBJ_PeakGain,16.0605734830493,45.6455457122605,15.3377308772352,17.8033153751018,22.4693695640003,3.92587766904984,70,sim_070
2.25,2.25,2.25,-5.85241958791059,-5.85241958791059,5.85241958791059,0.509775571982074,ATK_OBJ_S11_F0,3.92914030314518,2.62221373034109,13.82826780411,ATK_OBJ_PeakGain,14.7697980277702,42.4953436842066,15.7290938972998,17.4690055320364,19.5684980369548,2.4883659871571,71,sim_071
2.25,2.25,2.25,-4.98520400512291,-4.98520400512291,4.98520400512291,0.563300062917773,ATK_OBJ_S11_F0,3.43631480605482,1.77856955320995,11.8840083858266,ATK_OBJ_PeakGain,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
2.25,2.25,2.25,-4.43832459886554,-4.43832459886554,4.43832459886554,0.59990677972553,ATK_OBJ_S11_F0,3.55568442051969,1.61824312976967,5.62718530963847,ATK_OBJ_PeakGain,17.1595736129928,41.031347386546,15.7043546413671,12.9550009069036,19.0705583905324,2.00986114149571,73,sim_073
2.25,2.25,2.25,-4.55298604116063,-4.55298604116063,4.55298604116063,0.592039520130359,ATK_OBJ_S11_F0,4.11831680909657,2.24403619149568,19.1869390876128,ATK_OBJ_PeakGain,15.1742538894336,41.9126869442263,16.6825130917473,16.9621088598832,20.9972836366725,2.66365498072405,74,sim_074
2.25,2.25,2.25,-5.21985133821928,-5.21985133821928,5.21985133821928,0.548286348936867,ATK_OBJ_S11_F0,3.47819131257953,1.92533631344709,10.8317674838631,ATK_OBJ_PeakGain,15.5300094324831,44.7958829863523,17.3061782918713,15.7617052781439,16.8783260694715,3.46547335990009,75,sim_075
2.25,2.25,2.25,-0.586963740865098,-0.586963740865098,0.586963740865098,0.934656031625839,ATK_OBJ_S11_F0,5.62712564421541,-3.35478168019159,5.26455813234822,ATK_OBJ_PeakGain,18.1094217674908,45.2794772314347,16.4545220886333,15.7308134668014,20.876999483893,4.30304559890771,76,sim_076
2.25,2.25,2.25,-4.29100308363753,-4.29100308363753,4.29100308363753,0.610168587700847,ATK_OBJ_S11_F0,3.50629847314947,1.48378028471132,10.5323660490254,ATK_OBJ_PeakGain,16.8611923773516,40.0895661390746,16.3356574414596,13.8342076607781,17.9458030125582,2.72631027765824,77,sim_077
2.25,2.25,2.25,-2.6753942274584,-2.6753942274584,2.6753942274584,0.734903454145347,ATK_OBJ_S11_F0,4.31863315928237,0.945426966362858,13.7029478295442,ATK_OBJ_PeakGain,15.633639438083,44.5798934982246,18.0538757522997,14.8878039058234,21.9526327374446,3.66072940950286,78,sim_078
2.25,2.25,2.25,-2.87853641238063,-2.87853641238063,2.87853641238063,0.717915251057506,ATK_OBJ_S11_F0,4.9732471059017,1.82706052244359,21.38526962108,ATK_OBJ_PeakGain,17.44084862275,44.3171757718015,16.5201960450453,17.432604453026,22.0303878214999,3.73372749707724,79,sim_079
2.25,2.25,2.25,-3.68857510798141,-3.68857510798141,3.68857510798141,0.653990206177163,ATK_OBJ_S11_F0,4.13183834892184,1.70805160206786,39.897174423278,ATK_OBJ_PeakGain,17.741428909292,43.4106109326819,18.2768642667602,17.9228819201126,19.9025587624291,3.85917177666579,80,sim_080
2.25,2.25,2.25,-3.11220463605201,-3.11220463605201,3.11220463605201,0.698859331097155,ATK_OBJ_S11_F0,3.90134987109962,0.990618177631033,14.144070384752,ATK_OBJ_PeakGain,17.1904329968493,42.2768983819554,18.4584466399559,14.6177184835431,20.1946715949106,3.82063163280569,81,sim_081
2.25,2.25,2.25,-3.55066652010686,-3.55066652010686,3.55066652010686,0.6644566832279,ATK_OBJ_S11_F0,4.18603471776254,1.65624562209481,18.5583502172897,ATK_OBJ_PeakGain,18.0419346005156,40.1461987636826,16.2554190844135,15.5489266615245,22.3145700175178,3.71895338207218,82,sim_082
2.25,2.25,2.25,-2.97380461713712,-2.97380461713712,2.97380461713712,0.710084068907151,ATK_OBJ_S11_F0,4.04884110771444,1.00173652714097,11.1903840946666,ATK_OBJ_PeakGain,15.7963629710772,42.3331982821686,18.1408531971187,12.9727457523511,21.4387477058354,3.56657985168861,83,sim_083
2.25,2.25,2.25,-5.0957178066753,-5.0957178066753,5.0957178066753,0.55617838882086,ATK_OBJ_S11_F0,3.93541229609393,2.32809055117008,8.03940944970303,ATK_OBJ_PeakGain,14.8563509418416,41.0615790148321,14.547563722741,13.2035762177826,20.4821568126483,2.32077220245973,84,sim_084
2.25,2.25,2.25,-3.56809083015512,-3.56809083015512,3.56809083015512,0.663125087410287,ATK_OBJ_S11_F0,3.49281209707996,0.976747942717408,10.7401606300796,ATK_OBJ_PeakGain,17.2544487918473,41.0114470148242,17.7940867924897,14.414852007714,16.9741533726212,2.77646956855777,85,sim_085
2.25,2.25,2.25,-5.17174695510016,-5.17174695510016,5.17174695510016,0.551331304369236,ATK_OBJ_S11_F0,3.7535597428916,2.17986299646958,10.8087789569593,ATK_OBJ_PeakGain,14.5629973088496,41.1941354319456,15.1745902609101,16.8511922168261,19.0220166797269,3.00184771767727,86,sim_086
