"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1.63,-7.89585310804664
1.635,-8.09115070727258
1.64,-8.28085471264351
1.645,-8.46444439285709
1.65,-8.64145781664967
1.655,-8.81150052211195
1.66,-8.9742530149471
1.665,-9.12947675655073
1.67,-9.27701835945116
1.675,-9.41681178757461
1.68,-9.5488784561515
1.685,-9.67332523275591
1.69,-9.79034044761702
1.695,-9.90018811859473
1.7,-10.0032006759389
1.705,-10.0997705282641
1.71,-10.1903408410421
1.715,-10.2753959023013
1.72,-10.3554514297536
1.725,-10.4310451338676
1.73,-10.5027277982511
1.735,-10.571055078164
1.74,-10.6365801556996
1.745,-10.69984733082
1.75,-10.7613865744674
1.755,-10.8217090255354
1.76,-10.8813033785389
1.765,-10.9406330833474
1.77,-11.0001342616095
1.775,-11.0602142353183
1.78,-11.1212505599466
1.785,-11.1835904562698
1.79,-11.2475505400545
1.795,-11.3134167560338
1.8,-11.3814444310631
1.805,-11.4518583702932
1.81,-11.5248529290949
1.815,-11.6005920019662
1.82,-11.6792088775829
1.825,-11.7608059164783
1.83,-11.8454540146411
1.835,-11.9331918227827
1.84,-12.024024697427
1.845,-12.1179233666523
1.85,-12.2148223007004
1.855,-12.3146177862499
1.86,-12.4171657134791
1.865,-12.522279097726
1.87,-12.6297253732202
1.875,-12.7392235156393
1.88,-12.8504410736799
1.885,-12.9629912178257
1.89,-13.0764299471497
1.895,-13.1902536319261
1.9,-13.3038971100269
1.905,-13.416732596546
1.91,-13.5280697056806
1.915,-13.6371569170324
1.92,-13.7431848390861
1.925,-13.8452916231996
1.93,-13.9425708535726
1.935,-14.0340821738543
1.94,-14.1188648022311
1.945,-14.1959539302056
1.95,-14.2643997976219
1.955,-14.3232889971975
1.96,-14.3717673043114
1.965,-14.4090630793274
1.97,-14.4345100841941
1.975,-14.4475684283245
1.98,-14.4478423421382
1.985,-14.435093589635
1.99,-14.4092495754679
1.995,-14.370405557735
2,-14.3188208060865
2.005,-14.2333106525799
2.01,-14.137318877426
2.015,-14.0309677922881
2.02,-13.9145012761095
2.025,-13.788267606079
2.03,-13.6527002594263
2.035,-13.5082979557348
2.04,-13.3556050682336
2.045,-13.1951933182485
2.05,-13.0276454171931
2.055,-12.8535410687331
2.06,-12.6734455156672
2.065,-12.4879006277146
2.07,-12.2974183848403
2.075,-12.1024765158292
2.08,-11.9035159984645
2.085,-11.7009401081259
2.09,-11.4951147073225
2.095,-11.2863694914497
2.1,-11.0749999389375
2.105,-10.8612697514408
2.11,-10.6454136078128
2.115,-10.4276400916352
2.12,-10.2081346844714
2.125,-9.98706274500293
2.13,-9.76457241759779
2.135,-9.54079743285672
2.14,-9.31585977765729
2.145,-9.0898722236976
2.15,-8.86294071204375
2.155,-8.63516659722365
2.16,-8.40664875843672
2.165,-8.17748558785789
2.17,-7.94777686713004
2.175,-7.71762554322167
2.18,-7.48713941407854
2.185,-7.25643273307006
2.19,-7.02562773923435
2.195,-6.79485611783304
2.2,-6.56426039279225
2.205,-6.33399524926232
2.21,-6.10422878080204
2.215,-5.87514365161207
2.22,-5.64693815984127
2.225,-5.41982718332553
2.23,-5.19404298427531
2.235,-4.96983584452925
2.24,-4.74747449820666
2.245,-4.52724632415404
2.25,-4.3094572567806
2.255,-4.09443137107484
2.26,-3.88251009621194
2.265,-3.67405101267002
2.27,-3.469426190674
2.275,-3.26902003356933
2.28,-3.07322659883123
2.285,-2.8824463821509
2.29,-2.69708256653654
2.295,-2.51753675847731
2.3,-2.3442042564638
2.305,-2.17746892266614
2.31,-2.01769775505891
2.315,-1.86523528308441
2.32,-1.72039793309437
2.325,-1.58346852818513
2.33,-1.45469109856385
2.335,-1.3342661814638
2.34,-1.22234678260585
2.345,-1.11903515377335
2.35,-1.02438051362478
2.355,-0.938377802757063
2.36,-0.860967521472843
2.365,-0.79203665259709
2.37,-0.731420625310804
2.375,-0.67890623263277
2.38,-0.634235377860798
2.385,-0.597109496322782
2.39,-0.567194479675018
2.395,-0.544125921268544
2.4,-0.527514502422996
2.405,-0.516951349672876
2.41,-0.512013210502567
2.415,-0.512267317785647
2.42,-0.517275839065969
2.425,-0.526599834112339
2.43,-0.539802671339596
2.435,-0.556452879666855
2.44,-0.576126436640906
2.445,-0.598408516168301
2.45,-0.622894740431691
2.455,-0.649192001371077
2.46,-0.676918938611927
2.465,-0.705706184096551
