"Freq [GHz]","dB(St11) []"
0.7245,-4.06785908474414
0.72675,-4.19895341670731
0.729,-4.33466199051079
0.73125,-4.47515412140545
0.7335,-4.6206056383057
0.73575,-4.77119919000094
0.738,-4.92712456961399
0.74025,-5.08857905710449
0.7425,-5.25576777892948
0.74475,-5.42890408302329
0.747,-5.60820992595634
0.74925,-5.79391626736908
0.7515,-5.9862634644065
0.75375,-6.18550165570922
0.756,-6.39189112029649
0.75825,-6.60570259107268
0.7605,-6.82721749525888
0.76275,-7.05672808421464
0.765,-7.29453740209423
0.76725,-7.54095902555218
0.7695,-7.79631648390772
0.77175,-8.06094223898913
0.774,-8.3351760639068
0.77625,-8.61936260708687
0.7785,-8.91384785787705
0.78075,-9.21897413751112
0.783,-9.53507311724031
0.78525,-9.86245620528085
0.7875,-10.2014014352413
0.78975,-10.5521357186162
0.792,-10.9148109799517
0.79425,-11.2894722648696
0.7965,-11.6760153959782
0.79875,-12.074131167495
0.801,-12.483232475444
0.80325,-12.9023603148992
0.8055,-13.3300645170361
0.80775,-13.7642559540992
0.81,-14.2020295584873
0.81225,-14.6394631655565
0.8145,-15.0714075646771
0.81675,-15.4912998183696
0.819,-15.8910550860697
0.82125,-16.2611181059414
0.8235,-16.5907729383789
0.82575,-16.8687981049534
0.828,-17.0844898773261
0.83025,-17.2289506558959
0.8325,-17.2963858765987
0.83475,-17.2850550718233
0.837,-17.1975693587276
0.83925,-17.04043186626
0.8415,-16.8229796746615
0.84375,-16.5560602082343
0.846,-16.2507847788486
0.84825,-15.9175832231731
0.8505,-15.5656304854618
0.85275,-15.2026027029587
0.855,-14.8346693501547
0.85725,-14.466625050902
0.8595,-14.1020854373034
0.86175,-13.7436973959314
0.864,-13.3933359158392
0.86625,-13.0522749401318
0.8685,-12.7213288048922
0.87075,-12.4009657070075
0.873,-12.091396776928
0.87525,-11.7926449266883
0.8775,-11.5045974611231
0.87975,-11.2270459286871
0.882,-10.9597160882316
0.88425,-10.7022902960648
0.8865,-10.4544241211671
0.88875,-10.2157585873987
0.891,-9.98592911503809
0.89325,-9.76457197861706
0.8955,-9.5513289009209
0.89775,-9.34585025222528
0.9,-9.14779720913103
0.90225,-8.95684314040268
0.9045,-8.77267442144406
0.90675,-8.59499082934264
0.909,-8.42350563287505
0.91125,-8.25794546350526
0.9135,-8.09805003197734
0.91575,-7.94357173890082
0.918,-7.79427521547157
0.92025,-7.64993682119724
0.9225,-7.51034411848016
0.92475,-7.3752953386014
0.927,-7.24459884963763
0.92925,-7.11807263381264
0.9315,-6.99554377950376
0.93375,-6.87684799140899
0.936,-6.76182912109948
0.93825,-6.65033871922851
0.9405,-6.54223560996626
0.94275,-6.43738548771647
0.945,-6.33566053580307
0.94725,-6.23693906655622
0.9495,-6.14110518205027
0.95175,-6.04804845463249
0.954,-5.95766362631276
0.95625,-5.86985032605131
0.9585,-5.78451280397312
0.96075,-5.70155968154745
0.963,-5.62090371679401
0.96525,-5.54246158360883
0.9675,-5.4661536643408
0.96975,-5.39190385479092
0.972,-5.31963938084965
0.97425,-5.2492906260312
0.9765,-5.18079096920735
0.97875,-5.11407663188585
0.981,-5.04908653441956
0.98325,-4.98576216057189
0.9855,-4.92404742990191
0.98775,-4.86388857746767
0.99,-4.80523404038026
0.99225,-4.74803435077243
0.9945,-4.69224203477504
0.99675,-4.6378115171227
0.999,-4.58469903103508
1.00125,-4.53286253304514
1.0035,-4.4822616224673
1.00575,-4.43285746521977
1.008,-4.3846127217346
1.01025,-4.33749147870666
1.0125,-4.29145918444993
